dataset_name	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017
study_condition	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae	0.0	0.0	0	0.02094	0.0	0.0	0	0.07009	0.0	0.0	0	0.0	0.08932	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.4319	0	0.0	0.0	0.0	0	0.0	1.15045	0.0	0.34485	0	0.0	0.03109	0.0	0	0.0	0.04495	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	0.0	1.24509	0	0.0	0.0	0.0	0	0.0	0.72128	0.0	0	0.0	2.70585	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.07514	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	0.0	0.0	0	0.0	0.80845	2.21984	0	0.0	0.08145	0.0	0	0.0	0.02509	0	0.0	0.0	0	0.59271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	35.85569	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.01456	0.0	0.0	0.0	0.21056	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	0.03599	0.22508	0.0	0.54189	0.23085	1.21424	0.0	13.40825	0.1966	0.24562	0.0	0.0	0.0	0.0	1.1652	0.07416	0	3.17766	0.55151	0.0	0.0	0.0	0.0	0.09164	0.0	0.66754	0.61825	0.0	0.0	0.0	0.0	0.08881	4.41625	0.0	0.30973	0.04623	0.1466	0.0	0.0	0.15459	1.46774	0.85912	0.0	2.31032	2.04574	0.53503	0.0	0.06102	0.02673	0.0	0.0	0.0	8.01088	0.12276	0.02804
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	0.0	0.0	0.0	0.1464	0.02448	0.4925	0.0	0.08204	0.67529	0.0	0.0	0.15194	0.0173	0.0	1.9901	0.0085	0	1.7223	0.03763	0.07816	0.0	0.0	0.24493	0.0	0.00539	0.03987	0.0	0.0	0.02393	0.0	0.0	0.0	0.73232	0.0	0.0	0.18433	0.0	0.0	0.0	5.30135	0.25791	0.0269	0.0	0.21848	1.18741	0.29123	0.0	0.0	0.06638	0.0	0.70731	0.0	0.07571	0.11539	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillales_unclassified	0.04752	0.07843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11875	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.01017	0.0	0.0	0.02724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01619
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0	0.0	0.0	0.0	0.0	0.0	0.3527	0.0	0.0	0.0	0.0	0.0	7.14695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00531	0.0	0.0	0.0	0.0	0.0	0.15792	0.0	0.0	0	0.0	0.0	0.0	0.25854	0.0	0.73093	0.0	0.0	0.0	0.38456	0.0	0.01471	0.01258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52446	0.0	0.0	0.04242	0.0	0.0	0.0	0.0	0.0	0.0	1.48138	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00661	0.0	0.0	0.0	0.17012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	4.38483	16.94639	0.25951	0.04015	0.0	0.33235	0.56827	0.29373	0.09401	0.74818	0.06238	0.0	0.0	5.24614	0.0	0.05267	0	0.0	0.0436	0.75042	3.62986	8.32885	8.21363	0.03791	0.01218	3.48762	4.485	1.32705	6.15764	0.21969	0.24173	3.10492	0.45611	2.72275	0.52063	0.55548	0.06174	11.94622	0.01174	0.29355	0.4082	2.96216	0.37259	2.91504	0.44595	0.87402	0.58076	13.41796	0.13501	1.27777	1.10801	0.77165	0.56131	1.49763	5.31904
