dataset_name	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017	LiJ_2017
study_condition	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae	0	0.00453	0.97739	0	0	0	0	0	0.00061	0.00043	0.01823	0.13497	0.01089	0	0	0	0	0	0.01308	0.00921	0	0.00125	0	0.0148	0	0	0	0	0.53881	0	0.01196	0.01368	0.01778	0	0	0	0.06443	0	0.00494	0	0	0.03015	0	0.19932	0	0	0.00866	0	0	0.00479	0.25581	0.00879	0.00143	0	0.18469	0.01474	0	0.23953	0.13768	0	0	0.24359	0	0.01555	0	0	0	0.01325	0	0.23397	0.0049	0.01168	0.02031	0	0	1.26223	0	0.22307	0.08562	0	0.00425	0	0	0	13.95532	0.25177	0	0.00344	0	0.04377	2.88609	0	0.00519	0	0.14935	0	0.24176	0	0.06639	0	0.08241	0	0.00615	0	0.00992	0.0145	0	0	0	0	0	0.13533	0.01004	0	0.00294	0.00289	0	0	0.00062	0.08287	0.02368	0	0.00574	0	0	0	0	0.48227	0	0.22654	0.1786	0	0	0.04716	0	0	0.16964	0.00058	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	0.37277	0	0.0	0.06261	2.05313	0	0.20477	0.06289	1.0486	0.04852	1.11524	1.43473	0.40672	0.28975	0	0.19433	1.25043	0.00096	1.63132	7.02523	0.0706	0.07453	0.0011	12.08429	0	0	0.8798	0.1464	0.0	0	0.78285	1.18091	0	5.90797	0	0	0.72788	0.30236	9.3683	0	8.86934	5.9133	0	0	0.00854	0	0.48016	0.6351	0	0.97963	0.25506	4.83739	0.73793	0.04408	0.72887	1.48393	0	0.00993	0.0	0.011	0	0.08502	0.03301	0.46585	0	0.17833	0.21892	1.90461	0	31.18563	0.30388	0.0054	0.12922	0	1.25416	0.03099	0.2195	3.37031	5.91769	4.15691	0.00788	0	0	0	2.67061	0	0.19411	0.24684	1.52791	8.71472	0.10162	0.01062	0.71662	1.59877	0.08058	2.55614	0.02366	0.03492	0.09183	0.04925	1.57486	0.08985	0	0	14.65274	4.21211	0	0.58193	0	0.02887	0.32613	19.45822	0.45873	0.0448	3.06927	0.04767	0.70532	0.02917	0.5799	8.6414	1.32966	9.14949	1.26005	0.76898	0	0.3524	0	0.71647	0.09918	0.17934	0.28097	0	0.00607	4.37047	3.18693	2.26409	10.81847	3.92952	0.1253	0.00245
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	0.0	0	0.05814	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.01422	0.0	0.0	0.0	0.0	0.0	0	0	0	0.1414	0	0.0	0.0	0.0	0.0	0.00347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	0	0	0.86306	0	0	0	0	0	0.0	0	0.00719	0.0171	0	0	0	0	0	0	0.00325	0	0.00806	0	0	0.08459	0	0	0	0	0.055	0	0	0	0	0	0	0.00848	0.00401	0.02257	0.00119	0	0	0	0	0.03758	0	0	0.00144	0	0	0	0.00743	0	0.0012	0	0	0.00584	0.00558	0.00033	0.03404	0	0	0.28868	0.00256	0	0	0	0	0	0	0.01834	0	0.00119	0.00889	0	0	0.34244	0	0	0	0	0	0	0	0	0.92419	0.0902	0	0.00109	0	0.71735	0.36567	0	0	0	0	0	0	0	0.00351	0.0	0.00438	0.00021	0	0	0.00348	0	0	0	0.00099	0	0	0.00791	0	0	0.00225	0	0.0	0	0	0.01278	0	0	0	0	0	0	0	0	0	0.11362	0.01354	0	0	0.07047	0.07158	0	0	0	0.00223	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018	0.0	0.0	0.15045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.0	0.0	0.0	0.0	0.0	0.00337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04637	0.0	0.0	0.0	0.0	0.0	0.04285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Pseudonocardiales.f__Pseudonocardiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	0.0	0.0	0.0218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01147	0.0	0.0	0.0	0.02325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00523	0.0	0.0	0.0	0.00613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00186	0.0	0.0	0.0	0.0	0.0	0.04916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24562	0.0	0.0	0.0	0.0	0.0	0.21649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00153	0.0	0.0	0.0	0.0	0.0786	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	0.16865	0.18792	0.0	0.89748	1.27924	0.0	0.31044	0.54304	0.91916	0.08331	1.71341	0.78641	1.88255	0.0	2.28936	0.03222	0.42364	0.13048	0.68975	0.0	0.22777	0.02437	0.04587	2.12011	0.28366	0.0	0.08189	0.12078	0.0	0.0	0.77548	10.77109	0.19894	0.0	0.0	0.1709	0.17596	3.60247	0.0	0.89761	2.3594	0.0	0.40498	0.41388	0.14411	1.00582	0.76399	0.68998	0.01383	0.60815	5.08905	5.68734	0.43478	1.41855	1.36955	0.98862	0.4604	0.0	0.0	0.09211	0.06143	0.49496	0.19174	2.32011	0.07773	3.28373	0.28616	1.6315	0.057	4.01762	0.20582	0.05178	0.0	0.02959	0.43136	0.30391	0.53739	7.61998	0.0255	5.84205	0.0	0.00473	0.0	0.0531	5.8769	0.0	1.43717	0.22652	2.88937	5.54485	0.05162	0.0	0.09039	1.20632	0.88948	1.73722	0.58212	0.0	0.49893	0.20476	1.2266	0.0676	0.0	0.0	8.42612	0.0	0.25101	1.07224	1.39312	0.16836	0.0	2.0377	1.72874	0.2374	1.46127	0.52126	0.6896	0.04549	0.3779	2.2812	0.0	0.95955	0.36497	0.37082	0.06598	0.08324	0.03935	1.35563	0.12609	0.19211	0.0	0.0	0.04199	2.92948	1.7438	0.71742	2.29189	3.78877	0.52705	0.0672
