dataset_name	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a	ThomasAM_2018a
study_condition	control	CRC	control	control	control	CRC	CRC	CRC	CRC	control	CRC	CRC	CRC	control	control	CRC	CRC	control	control	CRC	control	CRC	CRC	control	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	CRC	control	CRC	CRC	control	control	CRC	CRC	CRC	control	control	control	CRC	CRC	CRC	CRC	control	control	CRC
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	0.00154	0	0.02442	0	0	0.01052	0.27372	0.00894	0.00331	0	0	0.26136	0	0	0.01048	0	0	0	0	0.06692	0.27439	0.00129	0.00469	0	0.00404	0.23662	0	0	0	0.01486	0	0	0.03026	0.05764	0.00649	0	0	0.33947	0	0	0.00145	0	0.0621	0.00344	0	0	0	0	1.87856	0	0	0	0.01037
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	0.00581	0.56585	3.29129	7.43318	8.26087	2.81522	0.04738	0.35583	15.04189	5.86889	0.41338	39.85506	0.1003	0	2.94435	2.04779	0	5.43423	19.56271	2.54202	0.16847	0	0.00105	1.95402	0.11415	0.12134	0	1.41064	1.12619	4.30299	0.37958	0.84704	8.77094	14.9118	0.36687	0.68941	1.09223	0.00242	0.02305	1.39596	0.10078	1.14164	5.90843	44.5882	0	0.00357	0.42886	0.10185	0.16713	0.99801	0.23545	0.05092	0.08085
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.06269	0.0	0	0.0	0.0	0.0	0.00277	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78409	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales	0.00039	0	0	0.01155	0	0.36126	0.86008	0	0	0	0	0.07107	0	0	0.01593	0	0	0.0	0	0.0	0.07503	0.00142	0.0	0	0.03222	0.0	0	0	0	0.0049	0	0	0.00263	0.00628	0.00108	0	0	0.0	0	0	0	0	0.06607	0	0	0	0.05896	0	0	0.00524	0	0.00404	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01711	0.0	0.0	0.00251	0.0	0.0	0.00431	0.08698	0.08808	0.0	0.00883	0.01304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	0.00094	0.5402	2.75201	0.84976	1.82652	0.86718	4.45431	0.0	0.72468	0.6725	0.64512	0.00266	1.37377	0.17402	4.72803	0.49301	0.30208	1.65535	5.47244	0.25917	0.00069	0.8879	0.0	0.17443	0.0	0.0	0.12333	0.24693	0.26768	0.66225	0.09642	0.4378	7.13646	8.54903	0.85147	1.62132	0.806	0.0	0.44383	0.24111	0.21822	0.14381	1.23545	1.9464	0.0959	0.02364	0.4234	0.0	0.14509	0.19646	0.62765	0.0	0.95585
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales	0.72615	0.1343	0.01354	0.49018	0.0	0.80277	0.0718	0.0	0.13124	0.08602	0.06202	0.0	0.92719	0.07383	0.05883	0.0759	0.05356	0.12788	0.33136	0.15018	0.0	0.28867	0.0	0.0903	0.0	0.0	0.02644	0.32708	0.01019	0.16437	0.41096	0.05673	0.34332	0.69397	0.01654	0.65392	0.02944	0.19615	0.02057	0.79723	0.21528	0.60316	0.08475	0.42877	0.07598	0.0	0.02354	0.134	0.33858	0.00541	0.0	0.01982	0.14279
k__Bacteria.p__Bacteroidetes.c__Bacteroidetes_unclassified.o__Bacteroidetes_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	0.32076	65.54263	31.53579	54.07204	42.8905	55.87125	23.27962	47.16734	37.10341	27.63296	70.2276	0.01367	50.27434	42.81811	31.35663	83.98785	74.96211	80.43902	36.34916	42.60284	54.25224	45.18249	0.00427	54.33822	0.0	65.22049	92.45093	58.50605	78.75764	28.07251	66.57313	85.42018	33.00194	27.82611	77.40577	65.32595	50.84465	67.30993	87.09524	47.50472	86.72316	48.47256	38.37656	19.22972	54.90679	91.3144	68.4922	47.47514	38.35703	66.42006	94.3056	63.44111	84.99573
k__Bacteria.p__Bacteroidetes.c__Chitinophagia.o__Chitinophagales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01621	0.00804	0.0	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Cyanobacteria.c__Cyanobacteria_unclassified.o__Oscillatoriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	0.0	0.02459	0.0	0.00652	0.0	0.0	0.04837	0.0	0.0	0.0	0.0	0.00292	0.18195	0.0	0.0	0.0	0.0	0.00115	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.00128	0.0	0.0	0.0	0.0	0.0	0.0759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00465	0.0	0.0	0.0	0.00245
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	0.00531	0.02629	0.03125	0.21442	0.0	1.15581	2.20084	0.0	0.0	0.0016	0.0	1.25227	0.04587	0.0	2.49536	0.0	0.0	0.0	0.0	0.0	5.01554	0.0085	1.185	0.08691	0.2546	2.41633	0.02088	0.00303	0.0	0.10228	0.01612	0.0	0.03029	0.02351	0.01618	0.0	0.0076	0.0	0.0	0.0	0.0	0.0	3.23214	0.00934	0.0687	0.0	0.04261	0.02607	0.0	0.0	0.0	0.48719	0.07338
