dataset_name	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015
study_condition	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	CRC	CRC	CRC
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales	0.03291	0	21.18772	0.00262	0	0.0012	0	0	0	0	0	3.72272	0.04309	0	0	0.01804	0	0.03144	0	0	0	0	0	0	0	0	0	0.02073	0	0	0	0	0	0	0	0	0	3.24366	0	0	0.27447	0	0	1.16343	0	0	0	0	0	0	0.58094	0	0	0	0	0.4664	0	0	0	0.0095	0	0.10318	0	0	0.00545	0.05351	0	0	0	0	1.05116	0.39793	0	0	0	0	0	0	0	0	0	0	0	2.82252	0	0	0	2.09153	0	0	0	0	0	0	0	0	0	0.04452	0	0	3.89139	0.00246	0	0	0.06469	0	7.96256	0	0	0.00843	0	0.01031	0	0	0	0.00798	0	0	0	0	0.00724	0	0.07343	0	0	0.01292	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	0.17665	0	0.10404	0.01594	0.00077	0	0.10882	0.00162	0	0.00576	0.00108	0.02219	0	0.15687	0	0.0784	0	0	0.00083	0	0.01162	0.01234	0	0.00135	0.00321	0	0.00564	0.00715	0.45687	0.00078	0.053	0.00087	0.00888	0	0.02634	0	0.01394	0	0.00127	0.05889	0	0.00123	0	0.00478	0.04477	0	0.0026	0	0.02016	0.01516	0.00558	0	0.00258	0.04693	0	0	0	0	9.00E-05	0.00938	0	0	0	7.00E-04	0	0	0.00224	0.00117	0	0.0014	0.00331	0.00349	0.0037	0	0	0	0.00481	0.00042	0.0031	0.01492	0	0	0	0	0	0.00167	0	0	0	0	0	0	0.01046	0	0.01043	0.00569	1.66032	0.01283	0.0447	0.01452	0	0.00093	0.01297	0	0.00536	0	0	0	0.04145	0.00565	0	0.01182	0	0.01237	0.00223	0	0	0	0	0	0.00674	0.00451	0.02977	0	0.04455	0	0.0011	0.10756
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	1.24264	0.5956	31.93708	2.78191	15.22698	0.05188	10.34458	20.80527	0.13356	0.03923	9.52089	0.11602	33.3313	1.55824	1.35898	11.95177	0.10354	0.1849	1.94544	0.01263	11.76285	14.76059	1.12541	0.59679	3.12403	22.86543	15.55189	36.62317	4.57058	0.3581	2.70998	18.92248	7.72937	0.58753	0.09297	0.03123	0.01642	0.21208	6.10423	0.00062	1.13593	2.39205	1.01901	7.78563	7.82079	6.49611	0.08382	1.14609	1.23212	0.22241	1.07695	0.91128	0.46156	5.06641	19.51769	0.06368	0.36769	0.80457	6.93234	4.63617	0.766	2.73515	1.67148	2.72295	0.88182	4.22079	0.23684	4.69649	26.19732	16.4564	3.41747	7.47624	1.61839	9.99076	0.09993	0.51427	6.78229	2.10168	5.29164	4.97903	0.29691	1.88903	2.23109	0	1.92079	0.36867	0	0.61054	0.09711	0.02821	1.10644	0.61379	3.07464	0.09639	0.01349	3.63393	0.0	0.13473	8.3249	3.1941	0.01839	4.38127	13.3946	3.15232	2.25698	0.58877	8.06781	0.0009	14.1634	3.73745	0.02723	0.37521	0.01704	9.67565	0.67156	1.02677	0.06119	0.01975	0.00207	3.46614	2.41041	2.54514	6.34793	0.0	0.54687	1.66876	0.07534	8.56938
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00086	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00073	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.00156	0.0	0.0	0.0	0.0	0.00091	0.0	0.0	0.0	0.0	0.0	0.08321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01267	0.00272	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales	0	0	0	0.0	0	0	0	0.02582	0	0.02789	0	0.16236	0	0.02609	0	0.0	0	0	0	0.0001	0.00344	0	0	0	0.00053	0.00507	0.00555	0	0.07235	0	0	0	0.02093	0	0.11296	0	0	0	0.05048	0.0	0.04397	0	0	0	0.01186	0.00262	0	0.08089	0.00455	0.00216	0	0	0	0.01079	0.00269	0.01046	0	0	0.00199	0	0.00569	0	0.02561	0.0062	0.00052	0.00307	0.00097	0.00849	0.00168	0.00036	0	0	0	0.00156	0	0	0.00573	0.02083	0.00271	0.01933	0.0464	0	0.00169	0	0	0.00175	0	0	0.00288	0	0.00041	0	0.04022	0.00621	0	0.00235	0	0.03611	0.00154	0.00041	0	0	0.00067	0.0	0.00429	0.00074	0	0	0	0	0.02437	0	0	0	0	0	0	0	0.12188	0.0075	0.03639	0	0.00759	0.01436	0.00165	0.00427	0.00159	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales	0.0	0.0	0.0	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03611	0.0	0.0	0.01569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	2.62845	0.08241	13.4693	2.4534	0.92439	0.00962	6.03368	0.0	0.19267	0.75451	0.70624	0.45607	0.45216	2.12253	0.30487	3.73383	0.0052	0.39953	3.87325	0.00173	2.72941	1.26504	0.75026	0.82758	0.87782	0.00465	2.39075	1.40304	6.3297	0.08138	9.27659	10.8447	0.00357	0.04954	5.92083	3.8575	3.85624	0.38394	8.61316	0.00329	1.456	1.78688	1.03191	3.08277	2.82022	3.97235	0.07865	1.8361	6.95892	0.46088	1.81403	0.21419	0.0	1.55477	4.54009	0.92928	0.91002	1.0953	0.0	0.28188	0.66213	1.86163	0.00928	1.07529	0.19421	0.00119	0.12713	0.87554	1.71952	4.02801	0.0871	2.88644	2.03535	0.24613	0.51327	0.0	1.83672	0.36141	2.20832	1.33081	0.20738	0.00145	0.82451	2.16857	0.27614	0.15941	0.29852	0.61042	1.26203	0.29014	0.56779	0.05056	1.25866	0.01233	0.00988	1.31623	0.88867	1.46684	9.6333	1.48422	0.05495	1.83039	5.35381	1.64865	0.6338	0.23165	3.33232	0.0	0.00403	7.73172	0.67494	3.10652	1.32349	3.64103	0.74482	1.41284	0.3815	0.0	0.15373	0.82693	0.74532	0.902	10.32276	1.52744	13.29721	1.00381	2.82046	11.13459
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales	0.89916	0.60657	1.61478	1.23037	0.18993	1.16148	0.57176	0.28646	0.01901	0.05292	0.11628	0.09976	0.07615	0.35884	0.70157	2.33074	1.69394	0.18134	0.18597	0.0	0.03844	0.0	0.18446	0.05709	0.38221	1.22938	0.78854	0.70452	0.89975	0.00314	0.03215	0.67306	0.64856	0.06361	0.03817	0.01666	0.26586	0.15317	0.14137	0.06879	0.07703	0.16719	0.1914	0.27779	0.00324	0.16713	0.02202	0.17937	0.05561	0.00711	0.64621	0.06103	0.13309	0.65738	1.73579	0.02666	0.27483	0.18338	0.06008	0.13011	0.21399	0.05229	0.16921	0.3342	0.00056	1.39842	0.14954	0.23953	0.27761	0.75598	0.3041	0.04869	0.67167	0.15513	0.07528	0.02023	0.89844	0.05017	0.0929	0.24474	0.00101	0.19955	0.05358	0.0853	0.13599	0.00617	0.23299	0.00434	0.14765	0.0155	0.28726	0.01171	0.01161	0.10816	0.01613	0.44449	1.2638	0.31872	0.12809	0.48817	0.37719	0.26919	0.35361	0.57465	0.00238	0.13103	0.29557	0.14751	2.27836	0.38226	0.03261	0.02887	0.25935	0.21135	0.1599	0.02617	0.0244	0.03038	0.08991	0.1547	0.21803	0.04448	0.74834	0.32766	0.33317	0.02603	0.28737	0.49795
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	14.38109	37.73946	5.14465	23.3486	28.75566	80.32475	3.31237	50.84957	42.91362	39.38824	68.69946	63.44384	26.6022	22.0777	50.64874	4.88174	53.32916	47.2521	62.00862	4.93809	56.85759	42.76823	65.05044	1.59771	65.87104	39.61836	24.72086	20.21304	2.62518	83.23994	34.23555	29.60921	1.95977	48.3732	64.43536	47.3723	31.37853	37.30674	27.43833	11.32342	63.04943	18.29776	37.01061	13.5514	1.19461	40.14796	50.10973	10.12778	66.82333	0.10029	33.61014	75.20729	56.12022	10.25955	14.34391	42.48553	76.49463	19.60775	90.20142	66.45155	10.40356	22.45005	23.9287	12.22297	61.68463	7.0923	42.17736	6.06586	12.23187	18.0566	62.7353	32.79896	4.74016	44.9465	31.96802	74.02316	14.22253	13.70655	18.64088	14.45166	71.44714	47.22835	49.09661	47.83804	45.41544	49.98678	6.05048	56.07502	41.26408	48.58317	24.16947	58.17354	16.729	32.78061	55.78833	18.21522	42.95765	20.93612	5.43568	7.60079	53.3085	24.15797	12.3199	35.86733	61.75179	59.82083	56.39292	61.88711	15.05319	50.56564	71.61677	63.51526	60.48774	11.30257	80.11839	76.74583	84.78572	68.79792	42.05924	29.78076	46.19019	63.64158	0.22079	12.21506	2.08615	38.94153	16.90312	10.35346
